popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
35,0.989,0.183,271760.0,0.0886,0.22,4,0.101,-21.505,0,0.0376,855,0.059
23,0.314,0.732,347867.0,0.59,0.000602,8,0.0444,-5.258,1,0.0301,26227,0.474
64,0.649,0.863,213750.0,0.669,0.0,5,0.102,-4.613,0,0.363,7343,0.52
63,0.208,0.563,236973.0,0.501,7.89e-05,2,0.104,-8.041,1,0.426,8010,0.398
48,0.00232,0.562,251453.0,0.809,0.000629,5,0.0732,-4.976,0,0.0693,7218,0.476
43,0.0201,0.396,323467.0,0.789,0.0639,0,0.0762,-8.245,0,0.0303,14135,0.458
8,0.956,0.122,145027.0,0.0531,0.788,10,0.101,-17.906,0,0.0412,16359,0.039
49,0.00251,0.801,180000.0,0.69,0.000251,4,0.124,-5.095,0,0.0989,13148,0.52
45,0.163,0.51,,0.457,6.27e-05,11,0.366,-8.056,0,0.0466,2425,0.634
0,0.868,0.413,,0.224,0.0837,5,0.0684,-17.079,0,0.0356,1568,0.545
51,0.00197,0.442,224667.0,0.746,0.0,4,0.123,-5.411,0,0.0309,26227,0.332
0,0.946,0.388,113572.0,0.226,0.00157,8,0.422,-15.301,0,0.0486,17875,0.412
43,0.0848,0.584,226587.0,0.723,2.8e-05,3,0.093,-6.496,0,0.0617,14678,0.609
39,0.973,0.388,,0.301,0.221,3,0.0692,-17.959,0,0.186,18649,0.402
32,0.988,0.225,203133.0,0.0863,0.0654,9,0.108,-19.298,1,0.0465,26227,0.0393
38,0.0634,0.544,193297.0,0.88,0.0159,4,0.453,-4.917,1,0.245,6881,0.491
73,0.344,0.538,249320.0,0.449,0.0,4,0.157,-8.078,0,0.0463,8568,0.27
52,0.991,0.252,273413.0,0.00676,0.955,7,0.062,-31.909,0,0.0358,26227,0.0897
49,0.0202,0.579,222853.0,0.567,1e-06,1,0.246,-6.288,0,0.0314,9434,0.215
38,0.836,0.582,495227.0,0.321,0.612,10,0.11,-12.461,1,0.0338,4066,0.295
51,0.0742,0.479,279067.0,0.424,0.91,7,0.184,-10.919,0,0.0404,3620,0.0473
27,0.993,0.367,,0.0215,0.941,1,0.0741,-25.542,0,0.0489,16732,0.0953
29,0.136,0.356,262168.0,0.759,0.0,6,0.117,-6.515,0,0.0836,26227,0.688
57,0.0249,0.685,293493.0,0.631,7.67e-05,10,0.211,-10.338,0,0.0926,1110,0.72
57,0.368,0.54,241600.0,0.677,0.0,0,0.224,-6.349,0,0.0286,25794,0.748
46,0.0211,0.415,,0.713,5.14e-06,10,0.259,-4.403,0,0.034,4016,0.475
51,0.905,0.596,,0.254,0.000335,8,0.113,-14.06,1,0.0321,25557,0.512
31,0.792,0.658,,0.623,0.809,0,0.151,-7.861,1,0.0498,26227,0.656
10,0.98,0.422,131040.0,0.223,0.0,10,0.291,-21.544,0,0.186,26227,0.34
66,0.193,0.678,307880.0,0.562,0.0,6,0.104,-9.197,1,0.508,24459,0.566
47,0.123,0.77,263173.0,0.675,0.0197,5,0.202,-5.979,0,0.0576,26227,0.394
